date,cash,transaction_cost,market_value,total_value
2014-04-16,1436.5018,1599.5142,9996963.984,9998400.4858
2014-04-17,1436.5018,0.0,9952414.416,9953850.9178
2014-04-18,1436.5018,0.0,9945184.368,9946620.8698
2014-04-21,1436.5018,0.0,9773490.216,9774926.7178
2014-04-22,1436.5018,0.0,9849654.192,9851090.6938
2014-04-23,1436.5018,0.0,9852236.352,9853672.8538
2014-04-24,1436.5018,0.0,9847398.456,9848834.9578
2014-04-25,1436.5018,0.0,9757807.248,9759243.7498
2014-04-28,1436.5018,0.0,9646516.152,9647952.6538
2014-04-29,9748388.2119,0.0,0.0,9748388.2119
2014-04-30,9748388.2119,0.0,0.0,9748388.2119
2014-05-05,9748388.2119,0.0,0.0,9748388.2119
2014-05-06,9748388.2119,0.0,0.0,9748388.2119
2014-05-07,9748388.2119,0.0,0.0,9748388.2119
2014-05-08,9748388.2119,0.0,0.0,9748388.2119
2014-05-09,9748388.2119,0.0,0.0,9748388.2119
2014-05-12,9748388.2119,0.0,0.0,9748388.2119
2014-05-13,9748388.2119,0.0,0.0,9748388.2119
2014-05-14,9748388.2119,0.0,0.0,9748388.2119
2014-05-15,9748388.2119,0.0,0.0,9748388.2119
2014-05-16,9748388.2119,0.0,0.0,9748388.2119
2014-05-19,9748388.2119,0.0,0.0,9748388.2119
2014-05-20,9748388.2119,0.0,0.0,9748388.2119
2014-05-21,9748388.2119,0.0,0.0,9748388.2119
2014-05-22,9748388.2119,0.0,0.0,9748388.2119
2014-05-23,9748388.2119,0.0,0.0,9748388.2119
2014-05-26,9748388.2119,0.0,0.0,9748388.2119
2014-05-27,9748388.2119,0.0,0.0,9748388.2119
2014-05-28,9748388.2119,0.0,0.0,9748388.2119
2014-05-29,632.6285,1559.3914,9746196.192,9746828.8205
2014-05-30,632.6285,0.0,9775229.832,9775862.4605
2014-06-03,632.6285,0.0,9786339.0,9786971.6285
2014-06-04,632.6285,0.0,9801860.688,9802493.3165
2014-06-05,632.6285,0.0,10052254.512,10052887.1405
2014-06-06,632.6285,0.0,10014914.952,10015547.5805
2014-06-09,632.6285,0.0,9838621.8,9839254.4285
2014-06-10,632.6285,0.0,10040307.336,10040939.9645
2014-06-11,632.6285,0.0,10140549.408,10141182.0365
2014-06-12,632.6285,0.0,10113488.424,10114121.0525
2014-06-13,632.6285,0.0,10254347.928,10254980.5565
2014-06-16,632.6285,0.0,10349851.176,10350483.8045
2014-06-17,632.6285,0.0,10215028.296,10215660.9245
2014-06-18,632.6285,0.0,10115357.256,10115989.8845
2014-06-19,632.6285,0.0,9793977.48,9794610.1085
2014-06-20,632.6285,0.0,9892810.512,9893443.1405
2014-06-23,632.6285,0.0,10095274.728,10095907.3565
2014-06-24,632.6285,0.0,10155759.624,10156392.2525
2014-06-25,632.6285,0.0,10076178.528,10076811.1565
2014-06-26,632.6285,0.0,10280600.568,10281233.1965
2014-06-27,632.6285,0.0,10299452.04,10300084.6685
2014-06-30,632.6285,0.0,10417329.36,10417961.9885
2014-07-01,632.6285,0.0,10469434.176,10470066.8045
2014-07-02,632.6285,0.0,10530252.792,10530885.4205
2014-07-03,632.6285,0.0,10550023.848,10550656.4765
2014-07-04,632.6285,0.0,10468707.408,10469340.0365
2014-07-07,632.6285,0.0,10337080.824,10337713.4525
2014-07-08,632.6285,0.0,10461936.6,10462569.2285
2014-07-09,632.6285,0.0,10268037.864,10268670.4925
2014-07-10,632.6285,0.0,10114548.912,10115181.5405
2014-07-11,632.6285,0.0,10080880.272,10081512.9005
2014-07-14,10137201.638,0.0,0.0,10137201.638
2014-07-15,10137201.638,0.0,0.0,10137201.638
2014-07-16,10137201.638,0.0,0.0,10137201.638
2014-07-17,10137201.638,0.0,0.0,10137201.638
2014-07-18,10137201.638,0.0,0.0,10137201.638
2014-07-21,10137201.638,0.0,0.0,10137201.638
2014-07-22,1982.1593,1621.3757,10133598.103,10135580.2623
2014-07-23,1982.1593,0.0,10203440.213,10205422.3723
2014-07-24,1982.1593,0.0,10430896.534,10432878.6933
2014-07-25,1982.1593,0.0,10526933.201,10528915.3603
2014-07-28,1982.1593,0.0,10862853.164,10864835.3233
2014-07-29,1982.1593,0.0,10882851.807,10884833.9663
2014-07-30,1982.1593,0.0,10821244.137,10823226.2963
2014-07-31,1982.1593,0.0,10959658.044,10961640.2033
2014-08-01,1982.1593,0.0,10863736.86,10865719.0193
2014-08-04,1982.1593,0.0,11102199.213,11104181.3723
2014-08-05,1982.1593,0.0,11040079.401,11042061.5603
2014-08-06,1982.1593,0.0,10969408.826,10971390.9853
2014-08-07,1982.1593,0.0,10797715.731,10799697.8903
2014-08-08,1982.1593,0.0,10810333.504,10812315.6633
2014-08-11,1982.1593,0.0,10967766.959,10969749.1183
2014-08-12,1982.1593,0.0,10893205.109,10895187.2683
2014-08-13,1982.1593,0.0,10905255.509,10907237.6683
2014-08-14,1982.1593,0.0,10807566.933,10809549.0923
2014-08-15,1982.1593,0.0,10903568.453,10905550.6123
2014-08-18,1982.1593,0.0,10930154.648,10932136.8073
2014-08-19,1982.1593,0.0,10908132.542,10910114.7013
2014-08-20,1982.1593,0.0,10858113.34,10860095.4993
2014-08-21,1982.1593,0.0,10785705.499,10787687.6583
2014-08-22,1982.1593,0.0,10834273.632,10836255.7913
2014-08-25,1982.1593,0.0,10714156.249,10716138.4083
2014-08-26,1250.1091,1705.1208,10657004.8,10658254.9091
2014-08-27,1250.1091,0.0,10727918.08,10729168.1891
2014-08-28,1250.1091,0.0,10601459.84,10602709.9491
2014-08-29,1250.1091,0.0,10757589.888,10758839.9971
2014-09-01,1250.1091,0.0,10971870.336,10973120.4451
2014-09-02,1250.1091,0.0,11063929.216,11065179.3251
2014-09-03,1250.1091,0.0,11159386.496,11160636.6051
2014-09-04,1250.1091,0.0,11294114.176,11295364.2851
2014-09-05,1250.1091,0.0,11251233.92,11252484.0291
2014-09-09,1250.1091,0.0,11282816.384,11284066.4931
2014-09-10,1250.1091,0.0,11365110.528,11366360.6371
2014-09-11,1250.1091,0.0,11426281.728,11427531.8371
2014-09-12,1250.1091,0.0,11510161.792,11511411.9011
2014-09-15,1250.1091,0.0,11525371.52,11526621.6291
2014-09-16,1250.1091,0.0,11125077.76,11126327.8691
2014-09-17,1250.1091,0.0,11170299.136,11171549.2451
2014-09-18,1250.1091,0.0,11258423.424,11259673.5331
2014-09-19,1250.1091,0.0,11321384.448,11322634.5571
2014-09-22,1250.1091,0.0,11202281.856,11203531.9651
2014-09-23,1250.1091,0.0,11335476.48,11336726.5891
2014-09-24,1250.1091,0.0,11459563.392,11460813.5011
2014-09-25,1250.1091,0.0,11391557.632,11392807.7411
2014-09-26,1250.1091,0.0,11413768.064,11415018.1731
2014-09-29,1250.1091,0.0,11525673.6,11526923.7091
2014-09-30,1250.1091,0.0,11636680.448,11637930.5571
2014-10-08,1250.1091,0.0,11762753.536,11764003.6451
2014-10-09,1250.1091,0.0,11789925.632,11791175.7411
2014-10-10,1250.1091,0.0,11737446.784,11738696.8931
2014-10-13,1250.1091,0.0,11692965.504,11694215.6131
2014-10-14,1250.1091,0.0,11623426.688,11624676.7971
2014-10-15,1250.1091,0.0,11672544.896,11673795.0051
2014-10-16,1250.1091,0.0,11528581.12,11529831.2291
2014-10-17,1250.1091,0.0,11411479.808,11412729.9171
2014-10-20,11571932.2637,0.0,0.0,11571932.2637
2014-10-21,11571932.2637,0.0,0.0,11571932.2637
2014-10-22,11571932.2637,0.0,0.0,11571932.2637
2014-10-23,1528.9904,1850.9684,11568552.305,11570081.2954
2014-10-24,11525044.2929,0.0,0.0,11525044.2929
2014-10-27,11525044.2929,0.0,0.0,11525044.2929
2014-10-28,11525044.2929,0.0,0.0,11525044.2929
2014-10-29,11525044.2929,0.0,0.0,11525044.2929
2014-10-30,608.2941,1843.6148,11522592.384,11523200.6781
2014-10-31,608.2941,0.0,11428192.384,11428800.6781
2014-11-03,608.2941,0.0,11553744.384,11554352.6781
2014-11-04,608.2941,0.0,11451822.592,11452430.8861
2014-11-05,2039.6412,1826.7546,11417216.154,11419255.7952
2014-11-06,2039.6412,0.0,11405752.851,11407792.4922
2014-11-07,2039.6412,0.0,11417937.372,11419977.0132
2014-11-10,2039.6412,0.0,11742891.792,11744931.4332
2014-11-11,2039.6412,0.0,11808527.709,11810567.3502
2014-11-12,2039.6412,0.0,11947265.673,11949305.3142
2014-11-13,2039.6412,0.0,11894266.308,11896305.9492
2014-11-14,2039.6412,0.0,11921225.64,11923265.2812
2014-11-17,2039.6412,0.0,11790446.469,11792486.1102
2014-11-18,2039.6412,0.0,11607942.762,11609982.4032
2014-11-19,2039.6412,0.0,11558844.069,11560883.7102
