date,cash,transaction_cost,market_value,total_value
2014-04-16,2971.798,15996.965,99981031.237,99984003.035
2014-04-17,2971.798,0.0,99933076.9425,99936048.7405
2014-04-18,2971.798,0.0,100192743.3575,100195715.1555
2014-04-21,2971.798,0.0,98692847.2995,98695819.0975
2014-04-22,2971.798,0.0,98848017.2695,98850989.0675
2014-04-23,36713222.5074,12.8383,61781603.4868,98494825.9942
2014-04-24,36713222.5074,0.0,61764304.5863,98477527.0937
2014-04-25,2572.3392,10725.0704,98119638.1759,98122210.5151
2014-04-28,598.695,1583.6295,96349767.6384,96350366.3334
2014-04-29,49040306.0699,59.9245,49048996.6351,98089302.705
2014-04-30,48961712.2097,12.573,48961682.9138,97923395.1235
2014-05-05,43983132.5938,2530.3089,54379530.8355,98362663.4293
2014-05-06,43893523.1773,14.3352,54295445.7766,98188968.9539
2014-05-07,43893523.1773,0.0,54290049.409,98183572.5863
2014-05-08,44046414.5308,24.4665,54451872.5516,98498287.0824
2014-05-09,88460994.0932,0.0,10408743.61,98869737.7032
2014-05-12,88460994.0932,0.0,10412285.53,98873279.6232
2014-05-13,88460994.0932,0.0,10414646.81,98875640.9032
2014-05-14,88460994.0932,0.0,10414499.23,98875493.3232
2014-05-15,88460994.0932,0.0,10414425.44,98875419.5332
2014-05-16,88460994.0932,0.0,10412137.95,98873132.0432
2014-05-19,88460994.0932,0.0,10414204.07,98875198.1632
2014-05-20,88460994.0932,0.0,10415827.45,98876821.5432
2014-05-21,88460994.0932,0.0,10417377.04,98878371.1332
2014-05-22,88460994.0932,0.0,10429331.02,98890325.1132
2014-05-23,88460994.0932,0.0,10417377.04,98878371.1332
2014-05-26,88460994.0932,0.0,10430954.4,98891948.4932
2014-05-27,88460994.0932,0.0,10434717.69,98895711.7832
2014-05-28,88460994.0932,0.0,10436193.49,98897187.5832
2014-05-29,3017.7722,14151.012,98885405.469,98888423.2412
2014-05-30,44593379.7986,0.0,54965419.068,99558798.8666
2014-06-03,44593379.7986,0.0,54755454.41,99348834.2086
2014-06-04,44593379.7986,0.0,54506115.375,99099495.1736
2014-06-05,44593379.7986,0.0,55152646.843,99746026.6416
2014-06-06,44593379.7986,0.0,54978859.392,99572239.1906
2014-06-09,3483.2458,7133.2421,98876960.2286,98880443.4744
2014-06-10,3483.2458,0.0,100725669.7566,100729153.0024
2014-06-11,0.1406,4174.0844,101062033.4904,101062033.631
2014-06-12,0.1406,0.0,100908058.747,100908058.8876
2014-06-13,0.1406,0.0,101967543.3528,101967543.4934
2014-06-16,0.1406,0.0,102731756.968,102731757.1086
2014-06-17,0.1406,0.0,101920795.6414,101920795.782
2014-06-18,0.1406,0.0,101355743.1874,101355743.328
2014-06-19,0.1406,0.0,98611320.8546,98611320.9952
2014-06-20,0.1406,0.0,99260601.1268,99260601.2674
2014-06-23,0.1406,0.0,100481006.953,100481007.0936
2014-06-24,0.1406,0.0,100878183.5802,100878183.7208
2014-06-25,0.1406,0.0,100405016.6052,100405016.7458
2014-06-26,0.1406,0.0,101662555.341,101662555.4816
2014-06-27,0.1406,0.0,102104800.7944,102104800.935
2014-06-30,0.1406,0.0,102953077.0202,102953077.1608
2014-07-01,43.8304,3617.885,103726432.3698,103726476.2002
2014-07-02,43.8304,0.0,103982978.828,103983022.6584
2014-07-03,43.8304,0.0,103840264.9037,103840308.7341
2014-07-04,43.8304,0.0,103752185.732,103752229.5624
2014-07-07,43.8304,0.0,103157735.8226,103157779.653
2014-07-08,43.8304,0.0,103787453.1476,103787496.978
2014-07-09,43.8304,0.0,102301226.5217,102301270.3521
2014-07-10,2000.7272,5428.6349,101512253.432,101514254.1592
2014-07-11,2000.7272,0.0,101869254.462,101871255.1892
2014-07-14,2000.7272,0.0,102923679.269,102925679.9962
2014-07-15,2000.7272,0.0,102484172.824,102486173.5512
2014-07-16,2000.7272,0.0,101625246.328,101627247.0552
2014-07-17,278.4816,5416.5393,101402363.864,101402642.3456
2014-07-18,278.4816,0.0,101939401.502,101939679.9836
2014-07-21,278.4816,0.0,101764527.267,101764805.7486
2014-07-22,278.4816,0.0,103190902.09,103191180.5716
2014-07-23,278.4816,0.0,103141904.332,103142182.8136
2014-07-24,278.4816,0.0,103688909.344,103689187.8256
2014-07-25,278.4816,0.0,105030062.937,105030341.4186
2014-07-28,278.4816,0.0,106637608.859,106637887.3406
2014-07-29,278.4816,0.0,106637112.393,106637390.8746
2014-07-30,278.4816,0.0,106294713.131,106294991.6126
2014-07-31,278.4816,0.0,107827315.349,107827593.8306
2014-08-01,278.4816,0.0,107113604.132,107113882.6136
2014-08-04,278.4816,0.0,108742302.077,108742580.5586
2014-08-05,278.4816,0.0,108900631.728,108900910.2096
2014-08-06,278.4816,0.0,109504634.864,109504913.3456
2014-08-07,278.4816,0.0,108351372.328,108351650.8096
2014-08-08,81.3594,3549.3122,108785911.486,108785992.8454
2014-08-11,81.3594,0.0,109697611.18,109697692.5394
2014-08-12,81.3594,0.0,109765560.407,109765641.7664
2014-08-13,81.3594,0.0,109825383.402,109825464.7614
2014-08-14,81.3594,0.0,108799322.149,108799403.5084
2014-08-15,81.3594,0.0,109209330.451,109209411.8104
2014-08-18,81.3594,0.0,109732289.123,109732370.4824
2014-08-19,81.3594,0.0,109682593.043,109682674.4024
2014-08-20,81.3594,0.0,109684819.365,109684900.7244
2014-08-21,81.3594,0.0,109524723.64,109524804.9994
2014-08-22,81.3594,0.0,109564385.053,109564466.4124
2014-08-25,81.3594,0.0,109098303.224,109098384.5834
2014-08-26,81.3594,0.0,108354018.627,108354099.9864
2014-08-27,81.3594,0.0,108304589.015,108304670.3744
2014-08-28,81.3594,0.0,107873741.829,107873823.1884
2014-08-29,31533881.16,0.0,76889144.892,108423026.052
2014-09-01,31533881.16,0.0,77140191.812,108674072.972
2014-09-02,31533881.16,0.0,77564257.204,109098138.364
2014-09-03,31533881.16,0.0,77797313.202,109331194.362
2014-09-04,73.9643,6928.5517,109430955.454,109431029.4183
2014-09-05,26096316.9092,0.0,83850703.602,109947020.5112
2014-09-09,26096316.9092,0.0,83873621.612,109969938.5212
2014-09-10,26096316.9092,0.0,83882493.636,109978810.5452
2014-09-11,130171.9623,4153.9186,109621373.8414,109751545.8037
2014-09-12,124183.0849,8330.3314,109766354.51,109890537.5949
2014-09-15,124635.8922,8345.2627,109870547.984,109995183.8762
2014-09-16,25340949.047,0.0,83147531.76,108488480.807
2014-09-17,1042.456,8129.599,108676769.25,108677811.706
2014-09-18,25421568.144,0.0,83436572.09,108858140.234
2014-09-19,25421568.144,0.0,83684280.08,109105848.224
2014-09-22,25421568.144,0.0,83478584.92,108900153.064
2014-09-23,25421568.144,0.0,83899781.97,109321350.114
2014-09-24,25421568.144,0.0,84215712.68,109637280.824
2014-09-25,25421568.144,0.0,84251185.846,109672753.99
2014-09-26,16.8814,4066.7975,109673471.8031,109673488.6845
2014-09-29,307.0995,8231.2851,110272945.0684,110273252.1679
2014-09-30,100.9799,10208.0154,110697600.4289,110697701.4088
2014-10-08,151.6837,6665.8412,111075941.959,111076093.6427
2014-10-09,204.2098,6622.4675,110914553.2524,110914757.4622
2014-10-10,20646436.308,0.0,90054854.495,110701290.803
2014-10-13,20646436.308,0.0,89925328.863,110571765.171
2014-10-14,20646436.308,0.0,89911920.285,110558356.593
2014-10-15,20646436.308,0.0,90004306.041,110650742.349
2014-10-16,178163.849,3274.3997,110168122.6253,110346286.4743
2014-10-17,398625.0446,6615.5609,110080989.4768,110479614.5214
2014-10-20,239052.6711,6626.3461,110754152.2155,110993204.8866
2014-10-21,261012.1814,6612.8974,110478722.1301,110739734.3115
2014-10-22,206750.563,6519.5579,110027192.3355,110233942.8985
2014-10-23,273112.8864,6459.8086,109469532.7085,109742645.5949
2014-10-24,174411.6937,6423.3125,109530101.9422,109704513.6359
2014-10-27,532.9512,6240.2498,109298110.0916,109298643.0428
2014-10-28,70.0428,6513.0483,110539755.904,110539825.9468
2014-10-29,20934423.6543,0.0,90421365.006,111355788.6603
2014-10-30,67821.4544,3338.1223,111276092.5346,111343913.989
2014-10-31,519.0345,6880.3099,111806073.5746,111806592.6091
2014-11-03,218.4948,6746.5697,112035955.171,112036173.6658
2014-11-04,21110150.8701,0.0,90841046.455,111951197.3251
2014-11-05,5208.5385,6744.0733,111859756.8496,111864965.3881
2014-11-06,21173262.8359,0.0,90817253.586,111990516.4219
2014-11-07,1085.5392,3485.3226,112728883.541,112729969.0802
2014-11-10,1085.5392,0.0,114217879.5882,114218965.1274
2014-11-11,1085.5392,0.0,114410609.686,114411695.2252
2014-11-12,1085.5392,0.0,115788984.9866,115790070.5258
2014-11-13,1085.5392,0.0,115289199.7348,115290285.274
2014-11-14,1085.5392,0.0,115100629.864,115101715.4032
2014-11-17,1085.5392,0.0,114696772.69,114697858.2292
2014-11-18,1085.5392,0.0,114243252.8016,114244338.3408
2014-11-19,1085.5392,0.0,114104645.6378,114105731.177
2014-11-20,1085.5392,0.0,114501375.4206,114502460.9598
2014-11-21,1085.5392,0.0,116285324.9686,116286410.5078
2014-11-24,1085.5392,0.0,118474057.4772,118475143.0164
2014-11-25,1085.5392,0.0,118887528.536,118888614.0752
2014-11-26,1085.5392,0.0,120556828.6492,120557914.1884
2014-11-27,84.557,4116.7134,122489061.7591,122489146.3161
2014-11-28,84.557,0.0,122756082.7742,122756167.3312
2014-12-01,84.557,0.0,123178445.0682,123178529.6252
2014-12-02,84.557,0.0,125779770.4742,125779855.0312
2014-12-03,84.557,0.0,126595836.7042,126595921.2612
2014-12-04,84.557,0.0,129565815.5598,129565900.1168
2014-12-05,84.557,0.0,132352037.6135,132352122.1705
2014-12-08,84.557,0.0,135897313.7076,135897398.2646
2014-12-09,84.557,0.0,134092350.3778,134092434.9348
2014-12-10,84.557,0.0,134991021.7834,134991106.3404
2014-12-11,84.557,0.0,132517399.8591,132517484.4161
2014-12-12,84.557,0.0,133313240.1156,133313324.6726
2014-12-15,84.557,0.0,134525529.9328,134525614.4898
2014-12-16,84.557,0.0,138008949.4475,138009034.0045
2014-12-17,84.557,0.0,140142548.8861,140142633.4431
2014-12-18,84.557,0.0,137692531.3059,137692615.8629
2014-12-19,84.557,0.0,137610690.2931,137610774.8501
2014-12-22,84.557,0.0,136833117.3127,136833201.8697
2014-12-23,84.557,0.0,136495049.78,136495134.337
2014-12-24,84.557,0.0,133562893.0688,133562977.6258
2014-12-25,84.557,0.0,135493634.4975,135493719.0545
2014-12-26,84.557,0.0,139123060.5686,139123145.1256
2014-12-29,84.557,0.0,138362255.0324,138362339.5894
2014-12-30,84.557,0.0,139159271.7576,139159356.3146
2014-12-31,84.557,0.0,140094099.1168,140094183.6738
2015-01-05,84.557,0.0,140827787.1455,140827871.7025
2015-01-06,84.557,0.0,140487959.8338,140488044.3908
2015-01-07,84.557,0.0,141485963.0669,141486047.6239
2015-01-08,84.557,0.0,139693429.6407,139693514.1977
2015-01-09,84.557,0.0,139518212.3403,139518296.8973
2015-01-12,84.557,0.0,138704770.6075,138704855.1645
2015-01-13,84.557,0.0,137781607.202,137781691.759
2015-01-14,84.557,0.0,138205584.3288,138205668.8858
2015-01-15,84.557,0.0,140027424.1961,140027508.7531
2015-01-16,2807.8023,5255.6794,139958188.84,139960996.6423
2015-01-19,2807.8023,0.0,136951381.061,136954188.8633
2015-01-20,2807.8023,0.0,137824418.908,137827226.7103
2015-01-21,2807.8023,0.0,139588798.602,139591606.4043
2015-01-22,36.0252,4769.3391,139981497.362,139981533.3872
2015-01-23,36.0252,0.0,139793004.976,139793041.0012
2015-01-26,36.0252,0.0,140499537.018,140499573.0432
2015-01-27,36.0252,0.0,140343995.47,140344031.4952
2015-01-28,36.0252,0.0,139870128.974,139870164.9992
2015-01-29,36.0252,0.0,139289449.292,139289485.3172
2015-01-30,36.0252,0.0,138845213.66,138845249.6852
2015-02-02,2459.2788,3292.8651,138435650.994,138438110.2728
2015-02-03,20111488.9691,0.0,118777546.144,138889035.1131
2015-02-04,20111488.9691,0.0,118520759.16,138632248.1291
2015-02-05,4290.7843,6331.8909,138363856.304,138368147.0883
2015-02-06,4290.7843,0.0,137562149.629,137566440.4133
2015-02-09,4290.7843,0.0,137193182.778,137197473.5623
2015-02-10,4290.7843,0.0,138193259.986,138197550.7703
2015-02-11,4290.7843,0.0,139095449.08,139099739.8643
2015-02-12,4290.7843,0.0,139500251.15,139504541.9343
2015-02-13,4290.7843,0.0,140438539.262,140442830.0463
2015-02-16,4290.7843,0.0,142269151.455,142273442.2393
2015-02-17,4290.7843,0.0,142400445.86,142404736.6443
2015-02-25,4290.7843,0.0,141603991.264,141608282.0483
2015-02-26,4290.7843,0.0,141894460.473,141898751.2573
2015-02-27,76.1388,4657.4136,142664801.65,142664877.7888
2015-03-02,76.1388,0.0,143257366.341,143257442.4798
2015-03-03,76.1388,0.0,142737766.558,142737842.6968
2015-03-04,76.1388,0.0,143411752.017,143411828.1558
2015-03-05,76.1388,0.0,143409866.926,143409943.0648
2015-03-06,76.1388,0.0,142640995.235,142641071.3738
2015-03-09,76.1388,0.0,143180157.001,143180233.1398
2015-03-10,76.1388,0.0,143812724.212,143812800.3508
2015-03-11,76.1388,0.0,143769134.705,143769210.8438
2015-03-12,76.1388,0.0,143673791.996,143673868.1348
2015-03-13,76.1388,0.0,144302540.485,144302616.6238
