date,cash,total_value,market_value,unit_net_value,units,static_unit_net_value
2016-09-30,700038.7139,999952.0139,299913.3,0.999952,1000000.0,1.0
2016-10-10,700038.7139,1003785.7139,303747.0,1.003786,1000000.0,1.0
2016-10-11,700038.7139,1004375.5139,304336.8,1.004376,1000000.0,1.0038
2016-10-12,700038.7139,1003490.8139,303452.1,1.003491,1000000.0,1.0044
2016-10-13,700038.7139,1003785.7139,303747.0,1.003786,1000000.0,1.0035
2016-10-14,700038.7139,1003785.7139,303747.0,1.003786,1000000.0,1.0038
2016-10-17,700038.7139,998772.4139,298733.7,0.998772,1000000.0,1.0038
2016-10-18,700038.7139,1005555.1139,305516.4,1.005555,1000000.0,0.9988
2016-10-19,700038.7139,1004375.5139,304336.8,1.004376,1000000.0,1.0056
2016-10-20,700038.7139,1004080.6139,304041.9,1.004081,1000000.0,1.0044
2016-10-21,700038.7139,1005260.2139,305221.5,1.00526,1000000.0,1.0041
2016-10-24,700038.7139,1012927.6139,312888.9,1.012928,1000000.0,1.0053
2016-10-25,700038.7139,1010863.3139,310824.6,1.010863,1000000.0,1.0129
2016-10-26,700038.7139,1009978.6139,309939.9,1.009979,1000000.0,1.0109
2016-10-27,700038.7139,1010568.4139,310529.7,1.010568,1000000.0,1.01
2016-10-28,700038.7139,1012632.7139,312594.0,1.012633,1000000.0,1.0106
2016-10-31,700038.7139,1012632.7139,312594.0,1.012633,1000000.0,1.0126
2016-11-01,700038.7139,1015581.7139,315543.0,1.015582,1000000.0,1.0126
2016-11-02,700038.7139,1013812.3139,313773.6,1.013812,1000000.0,1.0156
2016-11-03,700038.7139,1021184.8139,321146.1,1.021185,1000000.0,1.0138
2016-11-04,700038.7139,1019415.4139,319376.7,1.019415,1000000.0,1.0212
2016-11-07,700038.7139,1021184.8139,321146.1,1.021185,1000000.0,1.0194
2016-11-08,700038.7139,1021774.6139,321735.9,1.021775,1000000.0,1.0212
2016-11-09,700038.7139,1017940.9139,317902.2,1.017941,1000000.0,1.0218
2016-11-10,700038.7139,1022954.2139,322915.5,1.022954,1000000.0,1.0179
2016-11-11,700038.7139,1034160.4139,334121.7,1.03416,1000000.0,1.023
2016-11-14,700038.7139,1036814.5139,336775.8,1.036815,1000000.0,1.0342
2016-11-15,700038.7139,1033865.5139,333826.8,1.033866,1000000.0,1.0368
2016-11-16,700038.7139,1036224.7139,336186.0,1.036225,1000000.0,1.0339
2016-11-17,700038.7139,1035045.1139,335006.4,1.035045,1000000.0,1.0362
2016-11-18,700038.7139,1030031.8139,329993.1,1.030032,1000000.0,1.035
2016-11-21,700038.7139,1030031.8139,329993.1,1.030032,1000000.0,1.03
2016-11-22,700038.7139,1034750.2139,334711.5,1.03475,1000000.0,1.03
2016-11-23,700038.7139,1032096.1139,332057.4,1.032096,1000000.0,1.0348
2016-11-24,700038.7139,1035340.0139,335301.3,1.03534,1000000.0,1.0321
2016-11-25,700038.7139,1036519.6139,336480.9,1.03652,1000000.0,1.0353
2016-11-28,700038.7139,1035045.1139,335006.4,1.035045,1000000.0,1.0365
2016-11-29,700038.7139,1035929.8139,335891.1,1.03593,1000000.0,1.035
2016-11-30,700038.7139,1033275.7139,333237.0,1.033276,1000000.0,1.0359
2016-12-01,700038.7139,1036519.6139,336480.9,1.03652,1000000.0,1.0333
2016-12-02,700038.7139,1030031.8139,329993.1,1.030032,1000000.0,1.0365
2016-12-05,700038.7139,1019415.4139,319376.7,1.019415,1000000.0,1.03
2016-12-06,700038.7139,1019120.5139,319081.8,1.019121,1000000.0,1.0194
2016-12-07,700038.7139,1021184.8139,321146.1,1.021185,1000000.0,1.0191
2016-12-08,700038.7139,1017940.9139,317902.2,1.017941,1000000.0,1.0212
2016-12-09,700038.7139,1019120.5139,319081.8,1.019121,1000000.0,1.0179
2016-12-12,700038.7139,1009978.6139,309939.9,1.009979,1000000.0,1.0191
2016-12-13,700038.7139,1010568.4139,310529.7,1.010568,1000000.0,1.01
2016-12-14,700038.7139,1007029.6139,306990.9,1.00703,1000000.0,1.0106
2016-12-15,700038.7139,1005850.0139,305811.3,1.00585,1000000.0,1.007
2016-12-16,700038.7139,1005850.0139,305811.3,1.00585,1000000.0,1.0059
2016-12-19,700038.7139,1003195.9139,303157.2,1.003196,1000000.0,1.0059
2016-12-20,700038.7139,1003785.7139,303747.0,1.003786,1000000.0,1.0032
2016-12-21,700038.7139,1005850.0139,305811.3,1.00585,1000000.0,1.0038
2016-12-22,700038.7139,1004375.5139,304336.8,1.004376,1000000.0,1.0059
2016-12-23,700038.7139,1001426.5139,301387.8,1.001427,1000000.0,1.0044
2016-12-26,700038.7139,1004670.4139,304631.7,1.00467,1000000.0,1.0014
2016-12-27,700038.7139,1002901.0139,302862.3,1.002901,1000000.0,1.0047
2016-12-28,700038.7139,1002311.2139,302272.5,1.002311,1000000.0,1.0029
2016-12-29,700038.7139,1002016.3139,301977.6,1.002016,1000000.0,1.0023
2016-12-30,700038.7139,1002901.0139,302862.3,1.002901,1000000.0,1.002
2017-01-03,700038.7139,1006734.7139,306696.0,1.006735,1000000.0,1.0029
2017-01-04,700038.7139,1007914.3139,307875.6,1.007914,1000000.0,1.0067
2017-01-05,700038.7139,1006734.7139,306696.0,1.006735,1000000.0,1.0079
2017-01-06,700038.7139,1003785.7139,303747.0,1.003786,1000000.0,1.0067
2017-01-09,700038.7139,1004080.6139,304041.9,1.004081,1000000.0,1.0038
2017-01-10,700038.7139,1004670.4139,304631.7,1.00467,1000000.0,1.0041
2017-01-11,700038.7139,1004080.6139,304041.9,1.004081,1000000.0,1.0047
2017-01-12,700038.7139,1004375.5139,304336.8,1.004376,1000000.0,1.0041
2017-01-13,700038.7139,1005260.2139,305221.5,1.00526,1000000.0,1.0044
2017-01-16,700038.7139,1004080.6139,304041.9,1.004081,1000000.0,1.0053
2017-01-17,700038.7139,1002901.0139,302862.3,1.002901,1000000.0,1.0041
2017-01-18,700038.7139,1002606.1139,302567.4,1.002606,1000000.0,1.0029
2017-01-19,700038.7139,1003785.7139,303747.0,1.003786,1000000.0,1.0026
2017-01-20,700038.7139,1006439.8139,306401.1,1.00644,1000000.0,1.0038
2017-01-23,700038.7139,1006144.9139,306106.2,1.006145,1000000.0,1.0064
2017-01-24,700038.7139,1004670.4139,304631.7,1.00467,1000000.0,1.0061
2017-01-25,700038.7139,1005260.2139,305221.5,1.00526,1000000.0,1.0047
2017-01-26,700038.7139,1007029.6139,306990.9,1.00703,1000000.0,1.0053
2017-02-03,700038.7139,1004080.6139,304041.9,1.004081,1000000.0,1.007
2017-02-06,700038.7139,1004080.6139,304041.9,1.004081,1000000.0,1.0041
2017-02-07,700038.7139,1002606.1139,302567.4,1.002606,1000000.0,1.0041
2017-02-08,700038.7139,1008209.2139,308170.5,1.008209,1000000.0,1.0026
2017-02-09,700038.7139,1007914.3139,307875.6,1.007914,1000000.0,1.0082
2017-02-10,700038.7139,1009683.7139,309645.0,1.009684,1000000.0,1.0079
2017-02-13,700038.7139,1012042.9139,312004.2,1.012043,1000000.0,1.0097
2017-02-14,700038.7139,1011453.1139,311414.4,1.011453,1000000.0,1.012
2017-02-15,700038.7139,1009388.8139,309350.1,1.009389,1000000.0,1.0115
2017-02-16,700038.7139,1012337.8139,312299.1,1.012338,1000000.0,1.0094
2017-02-17,700038.7139,1012337.8139,312299.1,1.012338,1000000.0,1.0123
2017-02-20,700038.7139,1014697.0139,314658.3,1.014697,1000000.0,1.0123
2017-02-21,700038.7139,1016171.5139,316132.8,1.016172,1000000.0,1.0147
2017-02-22,700038.7139,1015286.8139,315248.1,1.015287,1000000.0,1.0162
2017-02-23,700038.7139,1012337.8139,312299.1,1.012338,1000000.0,1.0153
2017-02-24,700038.7139,1013517.4139,313478.7,1.013517,1000000.0,1.0123
2017-02-27,700038.7139,1010273.5139,310234.8,1.010274,1000000.0,1.0135
2017-02-28,700038.7139,1010273.5139,310234.8,1.010274,1000000.0,1.0103
2017-03-01,700038.7139,1010273.5139,310234.8,1.010274,1000000.0,1.0103
